Open,High,Low,Close,Volume
2024-01-03 13:00:00-03:00,1.0000672340393066,1.0007272958755493,0.9998429417610168,1.0000114440917969,447545344
2024-01-03 17:00:00-03:00,1.0000224113464355,1.0005242824554443,0.9998939037322998,1.0001236200332642,4818944
2024-01-03 21:00:00-03:00,0.9999160766601562,1.0003949403762817,0.9999046325683594,1.0001178979873657,72862720
2024-01-04 01:00:00-03:00,1.0001322031021118,1.0003401041030884,0.9999008774757385,1.0000263452529907,33476608
2024-01-04 05:00:00-03:00,1.0000272989273071,1.000353217124939,0.9999104142189026,0.9999601244926453,87659520
2024-01-04 09:00:00-03:00,0.9999714493751526,1.000595211982727,0.9999039173126221,1.0003247261047363,0
2024-01-04 13:00:00-03:00,1.0001564025878906,1.000654935836792,0.9998598098754883,1.0000633001327515,71194112
2024-01-04 17:00:00-03:00,1.0000829696655273,1.0004271268844604,0.9998550415039062,1.0001083612442017,304631296
2024-01-04 21:00:00-03:00,0.9998750686645508,1.0004061460494995,0.9996708631515503,1.0000766515731812,595168256
2024-01-05 01:00:00-03:00,1.0000463724136353,1.0004216432571411,0.9998825788497925,1.0003244876861572,174034432
2024-01-05 05:00:00-03:00,1.0002422332763672,1.000471830368042,0.9998000264167786,1.000312328338623,133078016
2024-01-05 09:00:00-03:00,1.000165343284607,1.0005830526351929,0.9997751712799072,1.0001288652420044,61267968
2024-01-05 13:00:00-03:00,1.0000920295715332,1.0007436275482178,1.0000157356262207,1.000141978263855,0
2024-01-05 17:00:00-03:00,1.0002329349517822,1.0005557537078857,0.9998778700828552,0.9999758005142212,88742400
2024-01-05 21:00:00-03:00,1.000053882598877,1.0004808902740479,0.99983149766922,0.9999891519546509,0
2024-01-06 01:00:00-03:00,1.0001561641693115,1.0004961490631104,0.999860405921936,1.0000786781311035,9122304
2024-01-06 05:00:00-03:00,1.0000550746917725,1.0002045631408691,0.9998043775558472,0.9999164342880249,0
2024-01-06 09:00:00-03:00,0.9999604821205139,1.00022292137146,0.9997842311859131,1.0000861883163452,0
2024-01-06 13:00:00-03:00,0.999996542930603,1.000233769416809,0.9998356103897095,1.000062346458435,0
2024-01-06 17:00:00-03:00,1.0000264644622803,1.000251054763794,0.9998180866241455,1.0000635385513306,0
2024-01-06 21:00:00-03:00,0.999992847442627,1.0005494356155396,0.9998562932014465,1.0000816583633423,25542144
2024-01-07 01:00:00-03:00,0.9999381899833679,1.000449538230896,0.9998411536216736,0.9999976754188538,0
2024-01-07 05:00:00-03:00,0.9999173283576965,1.0005853176116943,0.999690055847168,0.999925434589386,7018752
2024-01-07 09:00:00-03:00,1.0001108646392822,1.0003215074539185,0.999665379524231,1.000036358833313,165747456
