Open,High,Low,Close,Volume
2024-01-12 01:00:00-03:00,1.0163664228457492e-05,1.0238772119919304e-05,1.009370134852361e-05,1.010786036204081e-05,0
2024-01-12 05:00:00-03:00,1.0108961760124657e-05,1.0222116543445736e-05,1.004549085337203e-05,1.0188103260588832e-05,0
2024-01-12 09:00:00-03:00,1.0187095540459268e-05,1.0282571565767284e-05,9.916640919982456e-06,9.916640919982456e-06,0
2024-01-12 13:00:00-03:00,9.910546395985875e-06,9.984323696698993e-06,9.571434929966927e-06,9.792319360713009e-06,9079440
2024-01-12 17:00:00-03:00,9.792604032554664e-06,9.86410304903984e-06,9.41348207561532e-06,9.62422836892074e-06,17829664
2024-01-12 21:00:00-03:00,9.621982826502062e-06,9.665577636042144e-06,9.464567483519204e-06,9.660144314693753e-06,3052704
2024-01-13 01:00:00-03:00,9.66033803706523e-06,9.850855349213816e-06,9.66033803706523e-06,9.814021723286714e-06,348672
2024-01-13 05:00:00-03:00,9.813782526180148e-06,9.857097211352084e-06,9.761247383721638e-06,9.796888662094716e-06,1599504
2024-01-13 09:00:00-03:00,9.802080967347138e-06,9.867937478702515e-06,9.768991731107235e-06,9.846311513683759e-06,0
2024-01-13 13:00:00-03:00,9.846311513683759e-06,9.992510968004353e-06,9.815525118028745e-06,9.988791134674102e-06,3428336
2024-01-13 17:00:00-03:00,9.987962585000787e-06,9.98852829070529e-06,9.89078853308456e-06,9.89078853308456e-06,0
2024-01-13 21:00:00-03:00,9.888897693599574e-06,9.897383279167116e-06,9.812438293010928e-06,9.861879334494006e-06,0
2024-01-14 01:00:00-03:00,9.863537343335338e-06,9.896286428556778e-06,9.78896514425287e-06,9.896286428556778e-06,4066600
2024-01-14 05:00:00-03:00,9.897357813315466e-06,1.0024672519648448e-05,9.878934179141652e-06,9.883309758151881e-06,2478976
2024-01-14 09:00:00-03:00,9.882472113531549e-06,9.927352948579937e-06,9.827491339819971e-06,9.905296792567242e-06,869288
2024-01-14 13:00:00-03:00,9.90484477370046e-06,9.923493962560315e-06,9.696343113319017e-06,9.696343113319017e-06,0
2024-01-14 17:00:00-03:00,9.69590837485157e-06,9.77235413301969e-06,9.55842187977396e-06,9.564360880176537e-06,7883344
2024-01-14 21:00:00-03:00,9.565841537551023e-06,9.73800979409134e-06,9.565841537551023e-06,9.719338777358644e-06,2938960
2024-01-15 01:00:00-03:00,9.71932695392752e-06,9.752102414495312e-06,9.6666835815995e-06,9.680598850536626e-06,302608
2024-01-15 05:00:00-03:00,9.680532457423396e-06,9.73874830378918e-06,9.637667972128838e-06,9.694648724689614e-06,694664
2024-01-15 09:00:00-03:00,9.693301763036288e-06,9.713266081234906e-06,9.502488865109626e-06,9.519026207271963e-06,7456832
2024-01-15 13:00:00-03:00,9.519661034573801e-06,9.73568603512831e-06,9.514328667137306e-06,9.674100510892458e-06,2877080
2024-01-15 17:00:00-03:00,9.674277862359304e-06,9.699229849502444e-06,9.52867867454188e-06,9.560739272274077e-06,0
2024-01-15 21:00:00-03:00,9.556700206303503e-06,9.639826203056145e-06,9.551361472404096e-06,9.639826203056145e-06,189688
2024-01-16 01:00:00-03:00,9.639831660024356e-06,9.656512702349573e-06,9.578809113008901e-06,9.601191777619533e-06,39544
2024-01-16 05:00:00-03:00,9.601059900887776e-06,9.720536581880879e-06,9.590059562469833e-06,9.634224625187926e-06,1639056
2024-01-16 09:00:00-03:00,9.634778507461306e-06,9.698346730147023e-06,9.458343811274972e-06,9.656042493588757e-06,3910616
2024-01-16 13:00:00-03:00,9.655671419750433e-06,9.67278265306959e-06,9.565079380990937e-06,9.606374987924937e-06,1855352
2024-01-16 17:00:00-03:00,9.606795174477156e-06,9.720614798425231e-06,9.606795174477156e-06,9.662228876550216e-06,1584104
2024-01-16 21:00:00-03:00,9.662091542850249e-06,9.714782208902761e-06,9.64894934440963e-06,9.673597560322378e-06,736808
2024-01-17 01:00:00-03:00,9.673682143329643e-06,9.673682143329643e-06,9.530880561214872e-06,9.53198286879342e-06,1402176
2024-01-17 05:00:00-03:00,9.532231160847005e-06,9.570085239829496e-06,9.521927495370619e-06,9.550181857775897e-06,1373576
2024-01-17 09:00:00-03:00,9.550242793920916e-06,9.57516112976009e-06,9.466233677812852e-06,9.466233677812852e-06,3195064
2024-01-17 13:00:00-03:00,9.466057235840708e-06,9.534528544463683e-06,9.40564314078074e-06,9.52426216827007e-06,4182096
2024-01-17 17:00:00-03:00,9.524484084977303e-06,9.536817742628045e-06,9.442846931051463e-06,9.514431440038607e-06,819576
2024-01-17 21:00:00-03:00,9.515870260656811e-06,9.527291695121676e-06,9.437559128855355e-06,9.466153642279096e-06,1041392
2024-01-18 01:00:00-03:00,9.466153642279096e-06,9.545805369270965e-06,9.459869943384547e-06,9.532892363495193e-06,0
2024-01-18 05:00:00-03:00,9.533498996461276e-06,9.545932698529214e-06,9.417605724593159e-06,9.432278602616861e-06,837952
2024-01-18 09:00:00-03:00,9.433520062884782e-06,9.438216693524737e-06,9.284697625844274e-06,9.408944606548175e-06,4321304
2024-01-18 13:00:00-03:00,9.404627235198859e-06,9.409350241185166e-06,9.016001058625989e-06,9.016001058625989e-06,16629528
2024-01-18 17:00:00-03:00,9.021443474921398e-06,9.216655598720536e-06,9.021443474921398e-06,9.198627594741993e-06,10794784
2024-01-18 21:00:00-03:00,9.199307896778919e-06,9.21524224395398e-06,9.016902367875446e-06,9.116761248151306e-06,8528256
2024-01-19 01:00:00-03:00,9.118914931605104e-06,9.235672223439906e-06,9.11824099603109e-06,9.221956133842468e-06,1764656
